name,rank
Queensland University of Technology,201-300
Qufu Normal University,201-300
Rensselaer Polytechnic Institute,201-300
RWTH Aachen University,201-300
Sejong University,201-300
Shandong Normal University,201-300
Shandong University of Science and Technology,201-300
Southern University of Science and Technology,201-300
Stevens Institute of Technology,201-300
Sungkyunkwan University,201-300
SUNY New Paltz,201-300
Swansea University,201-300
Technical University Darmstadt,201-300
Technical University of Berlin,201-300
Thapar Institute of Engineering and Technology,201-300
The University of Auckland,201-300
The University of Glasgow,201-300
The University of Sheffield,201-300
The University of Texas at Dallas,201-300
Università Della Svizzera Italiana,201-300
Universiti Teknologi Malaysia,201-300
University of Arizona,201-300
University of Bern,201-300
University of Bonn,201-300
University of Calabria,201-300
"University of California, Riverside",201-300
"University of California, Santa Barbara",201-300
University of Central Florida,201-300
University of Colorado at Boulder,201-300
University of Essex,201-300
Exeter University,201-300
University of Fortaleza (UNIFOR),201-300
University of Geneva,201-300
University of Helsinki,201-300
University of Idaho,201-300
University of Illinois at Chicago,201-300
University of Jordan,201-300
University of Kentucky,201-300
University of Lisbon,201-300
University of Liverpool,201-300
University of Luxembourg,201-300
University of Massachusetts Amherst,201-300
University of Montpellier,201-300
University of Munich,201-300
University of Naples Federico II,201-300
University of North Carolina at Charlotte,201-300
University of Notre Dame,201-300
University of Nottingham,201-300
University of Padua,201-300
University of Salerno,201-300
University of South Australia,201-300
University of South Carolina - Columbia,201-300
University of Tehran,201-300
University of Trento,201-300
University of Twente,201-300
University of Utah,201-300
University of Victoria,201-300
University of Virginia,201-300
University of Zurich,201-300
Utrecht University,201-300
Washington University in St. Louis,201-300
Wenzhou University,201-300
West Virginia University,201-300
Western Sydney University,201-300
Western University,201-300
Xi'an Jiaotong-Liverpool University,201-300
Yale University,201-300
Yeungnam University,201-300
Yonsei University,201-300
Zhejiang University of Technology,201-300
Auburn University,301-400
Beijing Normal University,301-400
Binghamton University,301-400
Catholic University of Louvain,301-400
Chalmers University of Technology,301-400
China University of Mining and Technology (Xuzhou),301-400
China University of Petroleum (Huadong),301-400
"City, University of London",301-400
Czech Technical University in Prague,301-400
Donghua University,301-400
Duy Tan University,301-400
East China University of Science and Technology,301-400
Ecole de Technologie Superieure - Canada,301-400
Federal University of Minas Gerais,301-400
Florida International University,301-400
Fujian Normal University,301-400
Fujian University of Technology,301-400
Guangxi Normal University,301-400
Guilin University of Electronic Technology,301-400
Humboldt University of Berlin,301-400
Illinois Institute of Technology,301-400
Indian Institute of Technology Kharagpur,301-400
Iowa State University,301-400
Jiangnan University,301-400
Jilin University,301-400
Jinan University,301-400
Khalifa University,301-400
Kyung Hee University,301-400
La Trobe University,301-400
Lehigh University,301-400
Leiden University,301-400
Linkoping University,301-400
Loughborough University,301-400
Lund University,301-400
Mayo Clinic Alix School of Medicine,301-400
Memorial University of Newfoundland,301-400
Middlesex University,301-400
Nanjing Normal University,301-400
National Yang Ming Chiao Tung University,301-400
North China Electric Power University,301-400
Norwegian University of Science and Technology - NTNU,301-400
Old Dominion University,301-400
Polytechnic University of Madrid,301-400
Polytechnic University of Valencia,301-400
Pompeu Fabra University,301-400
Quaid-i-Azam University,301-400
Renmin University of China,301-400
Rice University,301-400
Ryerson University,301-400
Shandong University of Finance and Economics,301-400
ShanghaiTech University,301-400
Sichuan Normal University,301-400
Soochow University (China),301-400
Southwestern University of Finance and Economics,301-400
Tampere University,301-400
The Hebrew University of Jerusalem,301-400
The University of Calgary,301-400
The University of New Mexico - Albuquerque,301-400
"The University of Newcastle, Australia",301-400
The University of Western Australia,301-400
Tohoku University,301-400
Ton Duc Thang University,301-400
TU Dresden,301-400
University College Dublin,301-400
University of Arkansas at Fayetteville,301-400
University of Bologna,301-400
University of Coimbra,301-400
University of Duisburg-Essen,301-400
University of Goettingen,301-400
University of Groningen,301-400
University of Jaen,301-400
University of Jyvaskyla,301-400
University of Leeds,301-400
University of Leicester,301-400
University of Manitoba,301-400
University of Miami,301-400
University of Muenster,301-400
University of North Texas,301-400
University of Ottawa,301-400
University of Peshawar,301-400
University of Pisa,301-400
University of Quebec Montreal,301-400
University of Rochester,301-400
University of Sao Paulo,301-400
University of Saskatchewan,301-400
University of Shanghai for Science and Technology,301-400
University of Sherbrooke,301-400
University of Stuttgart,301-400
University of Sussex,301-400
University of Vienna,301-400
Uppsala University,301-400
Vellore Institute of Technology,301-400
Victoria University of Wellington,301-400
Wageningen University & Research,301-400
Washington State University,301-400
Wuhan University of Science and Technology,301-400
Wuhan University of Technology,301-400
Zagazig University,301-400
Zhongnan University of Economics and Law,301-400
Amirkabir University of Technology,401-500
Aristotle University of Thessaloniki,401-500
Autonomous University of Barcelona,401-500
Autonomous University of Madrid,401-500
Bar-Ilan University,401-500
Beijing University of Chemical Technology,401-500
Cairo University,401-500
Carlos III University of Madrid,401-500
Clemson University,401-500
Cranfield University,401-500
Curtin University,401-500
Dartmouth College,401-500
Drexel University,401-500
Durham University,401-500
Erasmus University Rotterdam,401-500
Florida State University,401-500
Free University of Bozen-Bolzano,401-500
George Mason University,401-500
Hanyang University,401-500
Henan University,401-500
Heriot-Watt University,401-500
Indian Institute of Science,401-500
Indian Institute of Technology Bombay,401-500
Indian Institute of Technology Delhi,401-500
ITMO University,401-500
Jiangxi University of Finance & Economics,401-500
Johannes Kepler University Linz,401-500
Jordan University of Science and Technology,401-500
Kyoto University,401-500
Kyungpook National University,401-500
Kyushu Institute of Technology,401-500
Lanzhou University,401-500
Laval University,401-500
Liaocheng University,401-500
Liverpool John Moores University,401-500
Mansoura University,401-500
Massey University,401-500
Nanchang University,401-500
National Technical University of Athens,401-500
National University of Sciences and Technology Pakistan,401-500
North Dakota State University,401-500
Northeast Normal University,401-500
NOVA University Lisbon,401-500
Ocean University of China,401-500
Oklahoma State University,401-500
Ontario Tech University,401-500
Oregon State University,401-500
Osaka University,401-500
Paul Sabatier University (Toulouse 3),401-500
Pohang University of Science and Technology,401-500
Polytechnic University of Turin,401-500
Qingdao University of Science and Technology,401-500
Queen's University,401-500
SASTRA Deemed University,401-500
Shanghai Maritime University,401-500
Shanxi University,401-500
Sharif University of Technology,401-500
Stockholm University,401-500
The George Washington University,401-500
The University of Georgia,401-500
Tianjin University of Technology,401-500
Trinity College Dublin,401-500
Ulsan National Institute of Science and Technology,401-500
University of Aizu,401-500
University of Bath,401-500
University of Bergen,401-500
"University of California, Santa Cruz",401-500
University of Campinas,401-500
University of Chile,401-500
University of Connecticut,401-500
University of Delaware,401-500
University of Erlangen-Nuremberg,401-500
University of Hamburg,401-500
University of Konstanz,401-500
University of Lille,401-500
University of Ljubljana,401-500
University of Lorraine,401-500
University of Malaga,401-500
University of Missouri - Columbia,401-500
University of Nebraska - Lincoln,401-500
University of New Brunswick,401-500
University of Paris,401-500
University of Porto,401-500
University of Rennes 1,401-500
University of Salamanca,401-500
University of Seville,401-500
University of South Florida,401-500
University of Tennessee - Knoxville,401-500
University of the Basque Country,401-500
University of Tuebingen,401-500
University of Windsor,401-500
University of Wuerzburg,401-500
Vrije Universiteit Brussel (VUB),401-500
Wayne State University,401-500
Zhejiang Gongshang University,401-500
Zhejiang Normal University,401-500
Zhengzhou University,401-500
